,MSE,RMSE,MAE,R2,Direction_Accuracy,IC
Ensemble_Performance,2.833430700865424e-05,0.005322997934308658,0.004169619741774488,0.1257693237205506,0.6607142857142857,0.319029468289558
Ensemble_Equal,2.8369586342950923e-05,0.005326310762896859,0.004177445245765942,0.12468081019976984,0.65625,0.3045270125987615
Ensemble_Optimized,2.8369586342950923e-05,0.005326310762896859,0.004177445245765942,0.12468081019976984,0.65625,0.3045270125987615
RandomForest,2.916471171989514e-05,0.005400436252738767,0.004163016677512814,0.10014790047303523,0.6607142857142857,0.30583493487080937
XGBoost,2.9369865159400656e-05,0.005419397121396499,0.004232396032139296,0.0938180675215824,0.625,0.33165065129190696
LightGBM,2.943052291822389e-05,0.005424990591533214,0.004217917721051249,0.09194652453655594,0.6205357142857143,0.3307089472560325
FFNN,3.0435365202540995e-05,0.005516825645472312,0.004289964566646649,0.06094297998173703,0.5982142857142857,0.2585233824471493
Ridge,4.2268312148067135e-05,0.006501408474174433,0.004946021599575927,-0.3041524221188521,0.6696428571428571,0.2163858637625454
