,MSE,RMSE,MAE,R2,Direction_Accuracy,IC
RandomForest,2.9747833829209484e-05,0.005454157481152289,0.004232562961707648,0.1126143075082694,0.65625,0.3125176169122358
Ensemble_Performance,3.026786765147867e-05,0.005501624092163937,0.004281034099954938,0.09710156207131115,0.6339285714285714,0.2944191757420458
XGBoost,3.0563218113385573e-05,0.0055284010449121335,0.004278084283160397,0.08829118025757166,0.6607142857142857,0.30431240657698067
LightGBM,3.121756922770226e-05,0.0055872684943272825,0.004336867102647609,0.06877171473801846,0.65625,0.3123297865497086
Ensemble_Equal,3.143219550236437e-05,0.005606442321326812,0.004358636690144892,0.06236935662141019,0.6294642857142857,0.24493380311765964
Ensemble_Optimized,3.143219550236437e-05,0.005606442321326812,0.004358636690144892,0.06236935662141019,0.6294642857142857,0.24493380311765964
FFNN,3.3716101026101635e-05,0.005806556727192255,0.004491036972654185,-0.005760144719869187,0.59375,0.25232436472346786
Ridge,8.181482738314449e-05,0.009045154912058968,0.006798085345023164,-1.4405577787716308,0.6071428571428571,0.1051537475976938
